x,y
100,700
2600,800
135.09,1908.47
336.92,2189.92
635.48,2318.55
857.27,2310.84
1107.55,2194.24
1296.06,1953.98
1347.91,1781.06
1350,1473.21
1350,1056.64
1350,860.97
1384.68,594.67
1478.65,420.17
1629.49,279.18
1799.99,200
2053.45,179.94
2269.43,248.7
2473.89,423.53
2583.86,658.91
